team,period_date,source_file,Total Available Hours,Completed Hours,Target Output,Actual Output,Target UPLH,Actual UPLH,HC in WIP,Actual HC Used,Open Complaint Timeliness,fallback_used
PSS,2025-05-12,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,377.0,464.5,1618.0,1832.0,4.29,3.94,14,14.29,88.0,
PSS,2025-05-19,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,383.0,485.0,1672.0,2108.0,4.37,4.35,14,14.92,88.0,
PSS,2025-05-26,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,370.0,424.0,1620.0,1776.0,4.38,4.19,14,13.05,86.0,
PSS,2025-06-02,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,307.0,340.5,1340.0,1412.0,4.36,4.15,13,10.48,86.0,
PSS,2025-06-09,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,363.0,430.25,1592.0,1880.0,4.39,4.37,14,13.24,85.0,
PSS,2025-06-16,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,317.0,369.25,1328.0,1427.0,4.19,3.86,14,11.36,84.0,
PSS,2025-06-23,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,365.0,419.5,1560.0,1904.0,4.27,4.54,13,12.91,88.0,
PSS,2025-06-30,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,355.0,409.0,1532.0,1727.0,4.32,4.22,14,12.58,87.0,
PSS,2025-07-07,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,365.0,380.5,1460.0,1632.0,4.0,4.29,13,11.71,86.0,
PSS,2025-07-14,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,371.0,365.75,1484.0,1492.0,4.0,4.08,13,11.25,86.0,
PSS,2025-07-21,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,301.0,308.75,1288.0,1352.0,4.28,4.38,12,9.5,88.0,
PSS,2025-07-28,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,347.0,399.0,1528.0,1810.0,4.4,4.54,14,12.28,86.0,
PSS,2025-08-04,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,364.0,392.5,1596.0,1730.0,4.38,4.41,14,12.08,84.0,
PSS,2025-08-11,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,283.0,324.0,1272.0,1537.0,4.49,4.74,13,9.97,83.0,
PSS,2025-08-18,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,324.0,408.5,1436.0,1888.0,4.43,4.62,13,12.57,88.0,
PSS,2025-08-25,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,243.0,252.5,1112.0,1260.0,4.58,4.99,13,7.77,86.0,
PSS,2025-09-01,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,337.0,375.9,1488.0,1784.0,4.42,4.75,12,11.57,85.0,
PSS,2025-09-08,C:\Users\wadec8\Medtronic PLC\PSS Sharepoint - Documents\PSS_Heijunka.xlsm,344.0,48.5,1430.0,0.0,4.16,0.0,4,1.49,86.0,
SVT,2025-09-01,C:\Users\wadec8\Medtronic PLC\SVT PXM Team - Heijunka_Schedule_Finding Work\SVT Heijunka .xlsm,125.0,30.233333333333334,89.0,85.0,0.71,2.81,1,0.93,90.0,
TCT Clinical,2025-04-14,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of April 14, 2025.xlsb",43.0,53.58333333333334,296.75,260.0,6.9,4.85,2,1.65,92.0,
TCT Clinical,2025-04-21,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of April 21, 2025.xlsb",43.0,56.24999999999999,306.0,259.0,7.12,4.6,2,1.73,92.0,
TCT Clinical,2025-04-28,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of April 28, 2025.xlsb",85.0,46.43333333333334,222.8333333333333,187.0,2.62,4.03,3,1.43,92.0,
TCT Clinical,2025-05-05,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of May 5, 2025.xlsb",48.0,59.16666666666666,282.4166666666666,252.0,5.88,4.26,4,1.82,89.0,
TCT Clinical,2025-05-12,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of May 12, 2025.xlsb",129.0,63.83333333333334,312.0833333333333,312.0,2.42,4.89,4,1.96,89.0,
TCT Clinical,2025-05-19,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of May 19, 2025.xlsb",68.0,59.61666666666667,344.35,430.0,5.06,7.21,4,1.83,89.0,
TCT Clinical,2025-05-26,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of May 26, 2025.xlsb",44.0,60.0,325.8333333333333,286.0,7.41,4.77,4,1.85,88.0,
TCT Clinical,2025-06-02,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of June 2, 2025.xlsb",54.0,59.33333333333334,329.0000000000001,316.0,6.09,5.33,4,1.83,87.0,
TCT Clinical,2025-06-09,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of June 9, 2025.xlsb",129.5,59.41666666666667,293.9166666666667,251.0,2.27,4.22,4,1.83,86.0,
TCT Clinical,2025-06-16,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of June 16, 2025.xlsb",49.0,74.99999999999999,413.75,322.0,8.44,4.29,3,2.31,87.0,
TCT Clinical,2025-06-23,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of June 23, 2025.xlsb",47.0,75.41666666666667,376.0,308.0,8.0,4.08,3,2.32,88.0,
TCT Clinical,2025-06-30,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of June 30, 2025.xlsb",42.0,55.16666666666667,296.8333333333333,241.0,7.07,4.37,3,1.7,88.0,
TCT Clinical,2025-07-07,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of July 7, 2025.xlsb",28.0,39.0,249.9166666666667,233.0,8.93,5.97,4,1.2,86.0,
TCT Clinical,2025-07-14,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of July 14, 2025.xlsb",54.0,67.25,426.1666666666667,371.0,7.89,5.52,4,2.07,87.0,
TCT Clinical,2025-07-21,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of July 21, 2025.xlsb",54.0,82.25000000000001,388.25,289.0,7.19,3.51,4,2.53,89.0,
TCT Clinical,2025-07-28,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of July 28, 2025.xlsb",53.0,67.16666666666667,320.1666666666666,243.0,6.04,3.62,4,2.07,86.0,
TCT Clinical,2025-08-04,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of August 4, 2025.xlsb",42.0,54.58333333333334,263.3333333333334,233.0,6.27,4.27,3,1.68,86.0,
TCT Clinical,2025-08-11,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of August 11, 2025.xlsb",46.0,57.65000000000001,373.9,290.0,8.13,5.03,5,1.77,84.0,
TCT Clinical,2025-08-18,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of August 18, 2025.xlsb",32.0,43.58333333333334,423.0833333333334,307.0,13.22,7.04,4,1.34,88.0,
TCT Clinical,2025-08-25,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - 1 WIP and Schedule\TCT Heijunka Week of August 25, 2025.xlsb",42.0,67.08333333333333,716.3333333333333,662.0,17.06,9.87,4,2.06,89.0,
TCT Clinical,2025-09-01,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - 1 WIP and Schedule\TCT Heijunka Week of September 1, 2025.xlsb",33.0,54.49999999999999,522.0,462.0,15.82,8.48,3,1.68,88.0,
TCT Clinical,2025-09-08,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - 1 WIP and Schedule\TCT Heijunka Week of September 8, 2025.xlsb",95.0,12.416666666666668,130.66666666666669,110.0,1.38,8.86,3,0.38,88.0,
TCT Commercial,2025-04-14,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of April 14, 2025.xlsb",202.0,130.75,706.5,685.5,3.5,5.24,11,4.02,92.0,
TCT Commercial,2025-04-21,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of April 21, 2025.xlsb",233.0,133.8333333333333,741.0833333333334,671.5,3.18,5.02,12,4.12,92.0,
TCT Commercial,2025-04-28,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of April 28, 2025.xlsb",230.0,112.2166666666667,667.1333333333333,655.5,2.9,5.84,12,3.45,92.0,
TCT Commercial,2025-05-05,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of May 5, 2025.xlsb",225.0,120.75,806.5833333333333,799.0,3.58,6.62,12,3.72,89.0,
TCT Commercial,2025-05-12,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of May 12, 2025.xlsb",243.0,144.0833333333333,920.45,858.0,3.79,5.95,12,4.43,89.0,
TCT Commercial,2025-05-19,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of May 19, 2025.xlsb",223.0,115.6666666666667,808.1166666666667,788.0,3.62,6.81,11,3.56,89.0,
TCT Commercial,2025-05-26,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of May 26, 2025.xlsb",177.5,80.33333333333333,746.25,702.0,4.2,8.74,12,2.47,88.0,
TCT Commercial,2025-06-02,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of June 2, 2025.xlsb",202.0,107.0,765.25,738.0,3.79,6.9,12,3.29,87.0,
TCT Commercial,2025-06-09,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of June 9, 2025.xlsb",200.5,111.8333333333333,726.8333333333334,683.5,3.63,6.11,11,3.44,86.0,
TCT Commercial,2025-06-16,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of June 16, 2025.xlsb",184.0,108.1666666666667,671.45,805.5,3.65,7.45,9,3.33,87.0,
TCT Commercial,2025-06-23,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of June 23, 2025.xlsb",221.5,126.5,805.3333333333333,793.5,3.64,6.27,12,3.89,88.0,
TCT Commercial,2025-06-30,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of June 30, 2025.xlsb",173.5,89.33333333333333,597.0,614.0,3.44,6.87,11,2.75,88.0,
TCT Commercial,2025-07-07,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of July 7, 2025.xlsb",198.0,88.25,707.3,880.0,3.57,9.97,10,2.72,86.0,
TCT Commercial,2025-07-14,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of July 14, 2025.xlsb",185.0,104.1666666666667,687.8333333333333,641.0,3.72,6.15,10,3.21,87.0,
TCT Commercial,2025-07-21,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of July 21, 2025.xlsb",204.5,104.6666666666667,898.1666666666666,689.5,4.39,6.59,11,3.22,89.0,
TCT Commercial,2025-07-28,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of July 28, 2025.xlsb",205.0,114.5,743.0,658.5,3.62,5.75,11,3.52,86.0,
TCT Commercial,2025-08-04,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of August 4, 2025.xlsb",175.0,94.75,665.0,674.5,3.8,7.12,11,2.92,86.0,
TCT Commercial,2025-08-11,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of August 11, 2025.xlsb",205.0,88.66666666666666,581.0,532.0,2.83,6.0,12,2.73,84.0,
TCT Commercial,2025-08-18,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - Weekly Heijunka Archived\TCT Heijunka Week of August 18, 2025.xlsb",204.0,115.0833333333333,659.3333333333333,962.0,3.23,8.36,11,3.54,88.0,
TCT Commercial,2025-08-25,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - 1 WIP and Schedule\TCT Heijunka Week of August 25, 2025.xlsb",182.0,96.16666666666667,716.3333333333333,662.0,3.94,6.88,12,2.96,89.0,
TCT Commercial,2025-09-01,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - 1 WIP and Schedule\TCT Heijunka Week of September 1, 2025.xlsb",142.0,43.58333333333334,522.0,462.0,3.68,10.6,10,1.34,88.0,
TCT Commercial,2025-09-08,"C:\Users\wadec8\Medtronic PLC\TCT CQXM - 1 WIP and Schedule\TCT Heijunka Week of September 8, 2025.xlsb",137.0,35.66666666666667,130.66666666666669,110.0,0.95,3.08,8,1.1,88.0,
